iter	Passed	Remaining
0	0	84
1	1	83
2	2	78
3	3	74
4	3	75
5	4	76
6	6	83
7	7	90
8	8	90
9	9	88
10	10	85
11	11	82
12	12	80
13	13	80
14	14	79
15	14	78
16	15	77
17	16	75
18	17	74
19	18	73
20	19	75
21	20	74
22	21	72
23	22	71
24	23	70
25	24	68
26	24	67
27	25	66
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	52
41	36	50
42	37	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	47	37
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	22
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	80	5
94	80	4
95	81	3
96	83	2
97	84	1
98	85	0
99	85	0
