iter	Passed	Remaining
0	8	8271
1	9	4567
2	9	3318
3	10	2674
4	11	2259
5	12	1995
6	12	1798
7	13	1647
8	13	1533
9	14	1437
10	15	1354
11	15	1284
12	16	1226
13	16	1174
14	17	1129
15	17	1090
16	18	1055
17	18	1024
18	19	995
19	19	970
20	20	947
21	20	927
22	21	914
23	22	913
24	23	902
25	23	885
26	24	871
27	24	857
28	25	845
29	25	834
30	26	823
31	26	812
32	27	802
33	27	794
34	28	785
35	29	778
36	29	770
37	30	763
38	30	755
39	31	748
40	31	741
41	32	734
42	32	729
43	33	724
44	33	718
45	34	713
46	34	709
47	35	704
48	36	699
49	36	699
50	37	700
51	38	696
52	39	706
53	40	707
54	41	715
55	42	716
56	43	714
57	43	710
58	44	711
59	45	707
60	45	702
61	46	698
62	46	693
63	47	689
64	47	685
65	48	681
66	48	677
67	49	673
68	49	670
69	50	666
70	50	662
71	51	659
72	51	656
73	52	657
74	53	659
75	54	667
76	55	670
77	57	676
78	57	674
79	58	674
80	59	678
81	60	675
82	60	669
83	61	666
84	61	663
85	62	660
86	62	657
87	63	654
88	63	651
89	64	648
90	64	645
91	65	642
92	65	639
93	66	636
94	66	633
95	67	636
96	68	642
97	69	641
98	70	639
99	70	637
100	71	635
101	71	633
102	72	630
103	73	629
104	73	626
105	74	624
106	74	622
107	75	620
108	75	618
109	76	616
110	76	614
111	77	611
112	77	609
113	78	607
114	78	606
115	79	604
116	79	601
117	80	599
118	80	598
119	81	596
120	81	594
121	82	594
122	83	594
123	83	592
124	84	590
125	84	589
126	85	586
127	85	585
128	86	583
129	87	582
130	87	580
131	88	578
132	88	577
133	89	575
134	89	574
135	90	572
136	90	571
137	91	569
138	91	568
139	92	566
140	92	565
141	93	562
142	93	561
143	94	559
144	94	558
145	95	556
146	95	555
147	96	554
148	97	554
149	97	554
150	98	555
151	99	555
152	100	554
153	100	554
154	101	554
155	102	552
156	102	551
157	103	549
158	103	548
159	104	546
160	104	544
161	105	543
162	105	541
163	106	540
164	106	538
165	106	537
166	107	535
167	107	534
168	108	533
169	108	531
170	109	530
171	109	529
172	110	527
173	110	526
174	111	525
175	111	524
176	112	524
177	113	524
178	114	523
179	114	522
180	115	522
181	115	521
182	116	520
183	117	519
184	117	519
185	118	518
186	119	518
187	119	517
188	120	516
189	121	516
190	121	515
191	122	514
192	122	514
193	123	513
194	124	512
195	124	512
196	125	511
197	126	510
198	126	510
199	127	509
200	128	511
201	129	511
202	130	512
203	131	513
204	132	512
205	132	512
206	133	511
207	134	511
208	134	510
209	135	509
210	136	508
211	136	507
212	137	507
213	137	506
214	138	505
215	139	504
216	139	503
217	140	503
218	140	502
219	141	501
220	142	500
221	142	500
222	144	502
223	144	501
224	145	501
225	146	500
226	146	499
227	147	498
228	147	497
229	148	497
230	149	496
231	149	495
232	150	495
233	151	494
234	151	493
235	152	492
236	152	491
237	153	490
238	153	489
239	154	488
240	154	487
241	155	487
242	156	486
243	156	485
244	157	485
245	159	487
246	159	487
247	160	486
248	160	485
249	161	484
250	162	483
251	162	482
252	163	481
253	163	480
254	164	479
255	164	478
256	165	477
257	165	476
258	166	475
259	166	474
260	167	474
261	167	473
262	168	472
263	168	471
264	169	470
265	169	469
266	170	468
267	171	467
268	171	466
269	172	465
270	172	464
271	173	463
272	174	464
273	175	463
274	175	463
275	176	462
276	177	462
277	177	461
278	178	460
279	178	459
280	179	458
281	179	457
282	180	456
283	180	456
284	181	455
285	181	454
286	182	453
287	182	452
288	183	451
289	184	450
290	184	450
291	185	449
292	185	448
293	186	447
294	186	446
295	187	445
296	187	444
297	188	444
298	189	444
299	190	444
300	191	444
301	191	443
302	192	443
303	193	442
304	194	442
305	194	441
306	195	440
307	195	440
308	196	439
309	196	438
310	197	437
311	197	436
312	198	435
313	199	434
314	199	433
315	200	433
316	200	432
317	201	431
318	201	430
319	202	429
320	202	428
321	203	427
322	204	427
323	204	427
324	205	427
325	206	426
326	206	425
327	207	425
328	208	424
329	208	423
330	208	422
331	209	421
332	209	420
333	210	419
334	210	418
335	211	417
336	211	416
337	212	415
338	212	415
339	213	414
340	213	413
341	214	412
342	214	411
343	215	410
344	215	409
345	216	408
346	216	408
347	217	407
348	217	406
349	218	405
350	219	404
351	219	404
352	220	403
353	220	403
354	221	402
355	221	401
356	222	400
357	223	400
358	223	399
359	224	399
360	225	398
361	225	397
362	226	396
363	226	395
364	227	395
365	227	394
366	228	393
367	228	392
368	229	392
369	229	391
370	230	390
371	230	389
372	231	388
373	231	388
374	232	387
375	232	386
376	233	385
377	234	385
378	235	385
379	235	384
380	236	383
381	236	383
382	237	382
383	237	381
384	238	380
385	238	379
386	239	379
387	240	378
388	240	377
389	241	377
390	241	376
391	242	375
392	242	374
393	243	374
394	243	373
395	244	372
396	244	371
397	245	370
398	245	370
399	246	369
400	246	368
401	247	368
402	247	367
403	248	366
404	248	365
405	249	365
406	250	364
407	251	364
408	251	363
409	252	362
410	252	362
411	253	361
412	253	360
413	254	359
414	254	359
415	255	358
416	255	357
417	256	357
418	256	356
419	257	355
420	257	354
421	258	354
422	258	353
423	259	352
424	260	351
425	260	351
426	261	350
427	261	349
428	262	348
429	262	348
430	263	347
431	263	346
432	264	345
433	265	345
434	265	345
435	266	344
436	266	343
437	267	343
438	267	342
439	268	341
440	269	340
441	269	340
442	270	339
443	270	338
444	271	338
445	271	337
446	272	336
447	272	336
448	273	335
449	273	334
450	274	333
451	274	333
452	275	332
453	275	331
454	276	330
455	276	330
456	277	329
457	277	328
458	278	328
459	278	327
460	279	326
461	280	326
462	281	326
463	281	325
464	282	324
465	282	324
466	283	323
467	283	322
468	284	321
469	284	321
470	285	320
471	285	319
472	286	319
473	286	318
474	287	317
475	287	316
476	288	316
477	288	315
478	289	314
479	290	314
480	290	313
481	291	312
482	291	312
483	292	311
484	292	310
485	293	310
486	293	309
487	294	308
488	294	308
489	295	307
490	296	307
491	297	306
492	297	306
493	298	305
494	299	305
495	299	304
496	300	304
497	301	303
498	302	303
499	302	302
500	303	301
501	303	301
502	304	300
503	304	299
504	305	299
505	305	298
506	306	297
507	306	297
508	307	296
509	307	295
510	308	295
511	308	294
512	309	293
513	309	293
514	310	292
515	311	292
516	312	291
517	312	290
518	313	290
519	313	289
520	314	288
521	314	288
522	315	287
523	315	286
524	316	286
525	316	285
526	317	284
527	318	284
528	318	283
529	319	282
530	319	282
531	320	281
532	320	280
533	321	280
534	321	279
535	322	278
536	322	278
537	323	277
538	323	276
539	324	276
540	324	275
541	325	275
542	326	274
543	327	274
544	327	273
545	328	272
546	328	272
547	329	271
548	329	270
549	330	270
550	330	269
551	331	268
552	331	268
553	332	267
554	332	266
555	333	266
556	333	265
557	334	264
558	334	264
559	335	263
560	335	262
561	336	262
562	336	261
563	337	260
564	337	259
565	338	259
566	338	258
567	339	257
568	339	257
569	340	256
570	341	256
571	341	255
572	342	255
573	342	254
574	343	253
575	343	253
576	344	252
577	345	251
578	345	251
579	346	250
580	346	250
581	347	249
582	347	248
583	348	248
584	349	247
585	349	246
586	350	246
587	350	245
588	351	245
589	351	244
590	352	243
591	352	243
592	353	242
593	353	241
594	354	241
595	354	240
596	355	239
597	356	239
598	356	238
599	357	238
600	358	237
601	358	237
602	359	236
603	360	236
604	360	235
605	361	234
606	361	234
607	362	233
608	362	232
609	363	232
610	363	231
611	364	230
612	364	230
613	365	229
614	365	228
615	366	228
616	366	227
617	367	227
618	367	226
619	368	225
620	368	225
621	369	224
622	370	223
623	370	223
624	371	222
625	372	222
626	372	221
627	373	221
628	374	221
629	378	222
630	378	221
631	379	220
632	380	220
633	380	219
634	381	219
635	381	218
636	382	218
637	383	217
638	383	216
639	384	216
640	384	215
641	385	214
642	386	214
643	387	214
644	388	213
645	388	213
646	389	212
647	390	211
648	390	211
649	391	210
650	392	210
651	392	209
652	393	208
653	393	208
654	394	207
655	395	207
656	395	206
657	396	206
658	397	205
659	397	204
660	398	204
661	399	203
662	399	203
663	400	202
664	400	201
665	401	201
666	402	201
667	403	200
668	404	200
669	405	199
